SPORES,wind_onshore,wind_offshore,roof_mounted_pv,open_field_pv,biofuel_supply,waste_supply,electrolysis,battery,heat_storage_big,heat_storage_small,hydrogen_storage
163,1813.14,1214.55,156.9,1240.32,320.4731336,28.21,421.87,14.03,94.63,1877.35,5
164,1725.67,1366.37,34.07,1293.88,134.520613,28.21,449.11,13.52,111.85,1762.91,5.62
165,2378.07,905.7,43.22,2238.64,91.06940815,28.18,474.6,21.1,71.08,1862.55,0.98
166,1853.9,1293.88,11.19,1315.35,140.5055502,28.21,457.69,10.23,92.92,1982.38,4.55
167,593.38,1692.39,0.08,1966.85,629.3829419,28.21,403.69,27.05,235.75,1185.94,3.38
168,2026.95,1115.48,101.57,986.78,301.0572656,28.21,440.87,12.68,101.33,1699.54,5.01
169,1790.48,1304.08,0.25,1356.39,216.6083229,28.21,447.85,15.19,96.6,1423.49,4.36
170,1894.85,1048.86,172.92,1382.4,485.4216207,28.18,400.18,0,0.39,0.15,0
171,3091.18,29.38,54.34,2654.88,920.5184235,34.64,518.2,97.26,803.38,3855.04,2898.66
172,2280.31,1146.35,0.08,1108.3,55.79976416,28.19,463.04,20.79,70.64,1341.72,2.03
173,1796.41,1097.92,29.02,1358.12,551.2636368,28.23,344.32,16.19,77.11,1985.62,6.43
174,2221.8,902.62,0.26,1515.36,1104.643778,28.28,591.2,2.89,325.73,1650.28,5.09
175,1917.99,1174.72,198.97,1132.46,255.2391875,28.2,433.48,11.24,82.54,1702.94,3.98
176,1914.98,1259.24,0,1205.73,142.5978552,28.21,455.87,10.88,110.93,1988.69,5.16
177,1649.39,1382.78,0.36,1362.41,154.313679,28.2,451.67,54.36,122.49,0.32,3.82
178,921.01,1356.83,72.25,1879.86,569.8588695,28.24,383.98,18.91,301.61,1079.77,7.34
179,1757.47,1339.74,32.26,1495.69,145.6491153,28.2,449.64,11.81,87.91,1614.82,3.86
180,1876.65,1240.25,124.65,1466.79,117.0126567,28.21,452.08,13.03,93.23,1987.17,4.75
181,1853.01,1267.26,0,1337.48,246.7571265,28.21,423.6,9.75,84.21,1593.53,4.14
182,1860.43,1052.32,170.92,1164.63,551.1805141,28.23,341.6,16.15,69.2,1996.43,6.4
183,1564.01,1247.05,16.72,1573.18,478.7172345,28.19,395.79,0,0.65,0.52,0
184,1908.49,1190.96,214.85,1173.19,137.6632246,28.22,462.7,12.17,128.06,1568.49,6.92
185,1914.4,1173.79,253.51,982.41,368.1161365,28.2,418.25,12.93,78.48,1887.68,2.96
186,1978.44,1137.9,241.42,999.94,381.3120231,28.18,417.44,14.79,0.02,1921.06,1.95
187,1835.07,1316.89,0.38,1225.37,123.323026,28.21,459.27,12.21,95.99,1740.45,0.01
188,1722.69,1118.08,0.68,1351.21,551.1846053,28.23,308.93,18.04,68.57,1854,7.8
189,1818.8,1302.3,0,1447.38,137.3167226,28.21,452.09,9.28,106.14,1637.15,4.59
190,1770.7,1333.07,37.45,1472.19,146.647135,28.2,449.46,10.56,88.3,1598.09,0
191,2245.37,968.69,53.26,2507.39,63.42747805,28.18,461.8,25.93,70.76,1884.87,0.5
192,1854.23,1293.8,11.18,1315.34,140.3049149,28.21,457.72,10.24,92.85,1981.75,4.98
193,1897.08,1192.05,0.05,1395.27,404.9247909,28.19,415.1,26.12,82,1248.24,1.93
194,3290.78,0.57,0.03,1998.68,551.1200292,28.2,508.15,37.98,67.63,1589.9,2.85
195,2244.38,771,24.66,1982.6,551.4304322,28.21,310.77,18.33,69.18,2040.14,4.72
196,1929.33,1066.19,33.2,1164.64,465.7089514,28.24,434.76,8.54,105.54,1280.16,5.31
197,2718.1,638.18,0.11,1987.47,1442.766653,28.21,698.18,0.25,135.92,744.12,3.71
198,1566.47,1263.82,22.71,1404.18,484.7832532,28.19,398.06,0,1.64,1.73,0.01
199,1818.63,1065.08,1.67,1367.56,551.2332527,28.23,317.02,18.38,69.41,1801.18,6.12
200,1854.91,1300.07,11.73,1221.03,126.1642253,28.21,459.79,11.75,95.22,1902.11,3.41
201,1853.11,1332.83,26.71,1511.38,46.95029113,28.22,457.01,16.49,67.72,1737.6,3.85
202,1917.99,1174.72,198.97,1132.46,255.2391875,28.2,433.48,11.24,82.54,1702.94,3.98
203,1752.05,1217.94,94.25,1299.33,364.683102,28.21,424.42,14.3,99.65,1755.43,4.61
204,1865.32,1236.28,106.14,1417.44,132.9242633,28.21,457.93,12.58,113.77,1852.96,4.5
205,1853.9,1293.88,11.19,1315.35,140.5055502,28.21,457.69,10.23,92.92,1982.38,4.55
206,2273.22,956.35,50.96,2512.99,46.62204793,28.25,462.15,25.76,68.12,1916.83,0.6
207,1798.84,1327.99,24.96,1513.28,130.71101,28.18,450.53,13.01,0.07,1692.5,3.09
208,1627.05,1425.53,36.51,1345.67,129.672761,28.21,447.16,12.03,96.95,1366.7,3.6
209,1691.72,1115.09,62.1,1460.6,551.5640886,28.22,335.08,14.38,103.75,1616.59,5.37
210,2357.1,815.21,10.07,2118.21,1025.395845,28.28,662.13,0.19,369.07,769.69,10.1
211,1853.9,1293.88,11.19,1315.35,140.5055502,28.21,457.69,10.23,92.92,1982.38,4.55
212,1799.47,1090.36,167.88,1674.32,832.8506655,28.28,549.62,0.28,415.55,1717.32,6.82
213,3959.87,23.1,0,0,1001.914217,32.55,499.68,56.12,346.07,2324.98,1196.98
214,1876.65,1240.25,124.65,1466.79,117.0126567,28.21,452.08,13.03,93.23,1987.17,4.75
215,1684,1396.71,82.8,1470.4,47.28695712,28.23,455.83,14.02,67.92,1719.61,5.51
216,1588.09,1194.64,90.32,1405.16,551.5722831,28.22,358.51,11.09,110.93,1480.37,6.28
217,2712.85,0.07,0.09,3037.65,908.2676103,46.34,541.11,0.26,1212.28,3342.25,5.77
218,1914.4,1173.79,253.51,982.41,368.1161365,28.2,418.25,12.93,78.48,1887.68,2.96
219,1627.05,1425.53,36.51,1345.67,129.672761,28.21,447.16,12.03,96.95,1366.7,3.6
220,1745.39,1344.19,27.29,1510.21,146.416796,28.2,450.24,10.22,87.62,1652.18,3.24
221,1944.39,1262.87,33.13,1081.17,123.2141184,28.21,465.27,11.63,96.87,1540.79,4.77
222,3095.11,29.13,56.64,2648.77,925.7953101,34.84,518.6,96.15,782.85,3738.18,2831.05
223,2266.12,1158.33,0,1105.86,57.25812358,28.19,456.94,14.73,70.41,1397.17,1.55
224,1737.71,819.67,58.16,1842.71,875.4827762,28.74,449.06,0.15,1083.69,3857.8,3.63
225,1522.76,1246.5,92.63,1345.18,551.7081799,28.23,354.66,13.61,100.15,1813.21,7.14
226,2059.43,1058.88,16.35,1164.45,371.1157307,28.24,451.36,10.84,98.37,1237.34,5.72
227,1818.8,1302.27,0,1447.32,137.3646086,28.21,452.08,9.29,106.15,1636.92,4.72
228,1725.67,1366.37,34.07,1293.88,134.520613,28.21,449.11,13.52,111.85,1762.91,5.62
229,2026.98,1256.97,14.22,1225.22,46.88104442,28.23,465.53,11.68,67.73,2063.85,6.01
230,1802.92,1070.97,4.91,1547.33,551.199102,28.23,308.4,17.27,68.26,1823.07,7.63
231,3842.15,21.42,320.8,0,979.1719406,32.59,495.38,46.43,385,2167.55,1705.54
232,1985.44,1282.33,35.57,1098.8,46.99216318,28.23,469.41,10.67,67.7,1864.8,4.5
233,1740.78,1264.07,126.04,1398.6,260.4754587,28.21,430.12,11.78,99.3,1299.77,5.03
234,2266.12,1158.33,0,1105.86,57.25812358,28.19,456.94,14.73,70.41,1397.17,1.55
235,1943,978.2,188.66,1186.01,551.3461952,28.22,332.19,20.33,72.81,1722.99,5.53
236,2159.3,1065.24,0.09,1051.4,407.4613197,28.19,428.3,19.5,80.06,1126.84,2.04
237,1974.24,1171.02,0,1190.61,297.5842424,28.21,428.19,8.9,97.17,1541.89,5.1
238,1589.07,1171.52,28.17,1384.19,551.6543852,28.22,335.86,13.9,103.18,1885.36,5.63
239,1853.01,1267.26,0,1337.48,246.7571265,28.21,423.6,9.75,84.21,1593.53,4.14
240,1882.41,992.53,201.82,1100.3,551.4808835,28.22,337.34,17.24,81.2,1711.16,6.47
241,1745.29,1344.3,27.28,1510.12,146.3959413,28.2,450.24,10.2,87.62,1651.97,2.71
242,1824.79,1283.08,42.06,1165.47,235.9365982,28.21,436.24,12.03,79.13,1437.28,4.24
243,1920.41,1151.2,255.39,1177.49,251.2225318,28.2,430.17,11.66,83.41,1695.25,3.82
244,488.28,1746.46,0.03,2066.32,678.560876,28.21,407.68,35.06,243.11,1101.01,2.39
245,1920.28,1151.28,255.42,1177.46,251.1872166,28.2,430.17,11.67,83.43,1695.23,3.76
246,649.68,1206.43,0.14,3028.96,692.0172564,28.24,460.77,47.96,408.07,789.35,5.92
247,1582.48,1219.42,67.21,1288.95,551.4774192,28.23,351.72,15.45,83.42,1778.68,5.56
248,675.75,923.1,0.09,3908.8,751.1630539,28.24,551.62,76.82,496.18,814.61,4.99
249,3097.72,31.17,0,2693.57,876.8131596,34.2,518.03,118.99,779.1,4260.15,2778.67
250,2245.25,968.82,53.25,2507.36,63.34330376,28.18,461.8,25.91,70.79,1885.23,0.17
251,1784.64,1297.38,73.89,1478.58,153.2657899,28.21,447.86,9.77,96.81,1526.98,4.92
252,3881.96,0,368.18,1969.3,57.6581338,28.22,474.89,25.26,71.75,1386.59,4.91
253,3370.79,2.68,339.19,1590.66,506.8982647,28.29,393.5,13.87,114.58,1180.37,16.99
254,194.48,1920.06,0,2570.43,1210.426402,28.18,434.19,55.03,85.28,994.06,0.65
255,2328.24,939.02,53.93,2432.54,87.91933417,28.18,468.44,0,0,0,0
256,3328.79,242.65,0.08,2345.34,1525.732712,28.19,736.3,1.1,88.67,565.31,6.59
257,1885.16,1137.49,232.51,1220.88,331.9438428,28.21,421.38,10.71,103.25,1350.39,3.64
258,2276.04,1148.33,0.07,1106.21,59.46080935,28.19,463.09,20.53,70.9,1321,1.91
259,1957.47,1168.07,256.51,984.16,324.7766279,28.2,425.1,14.61,77.23,1857.48,2.6
260,1870.8,1048.13,196.18,1140.14,551.1835385,28.22,340.34,17.9,69.1,1842.31,5.82
261,1895.44,1175.2,327.67,1185.84,151.4291401,28.22,451.17,10.9,131.94,1460.47,5.95
262,3073.93,33.75,54.08,2678.09,997.6273246,34.48,517.92,153.72,965.63,0,3209.1
263,1071.62,106.03,0,6278.65,1206.967134,28.21,854.58,221.88,433.24,591.97,134.49
264,1507.51,1020.2,106.66,1645.91,821.481204,28.48,437.96,0.9,984.44,2707.99,5.99
265,1989.28,961.8,145.52,1281.75,551.3046611,28.22,321.24,17.18,69.51,2063.1,5.33
