SPORE,Total renewable capacity,Electrolysis capacity ,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
196,0.096161038,0.256,0.99744759,0.899440817,0.405980968,0.524425677
197,0.414851153,0.723,0.999998753,0.1388995,0.347512076,0.432705652
198,0.113839267,0.19,1,0.933915968,0.364954732,0.427351573
199,0.112664781,0.047,1,0.996744147,0.34062793,0.536703512
200,0.150004571,0.3,1,0.959750506,0.380094906,0.501680184
201,0.243157373,0.295,1,0.999177994,0.381180682,0.534071299
202,0.160087422,0.253,1,0.974054908,0.356054106,0.514154707
203,0.143309447,0.237,1,0.934463774,0.305190817,0.435697592
204,0.215775784,0.297,1,0.952806211,0.319972118,0.481208229
205,0.173987352,0.296,1,0.955552211,0.384447858,0.463075455
206,0.539407605,0.304,1,0.999495474,0.462375214,0.5524528
207,0.22682537,0.284,1,0.964131771,0.421029991,0.52166784
208,0.163029177,0.278,1,0.960535538,0.366063118,0.536330365
209,0.133874779,0.079,1,0.964217463,0.451569676,0.494958267
210,0.402865303,0.659,1,0.137544729,0.259514142,0.30469711
211,0.173987352,0.296,1,0.955552211,0.384447858,0.463075455
212,0.245373384,0.459,1,0.395348609,0.254786537,0.293173489
213,0.037882712,0.371,0.994510208,0.751735293,0.460910652,0.575280801
214,0.238811221,0.286,1,0.965723293,0.344222435,0.530242031
215,0.218194006,0.293,1,0.998871462,0.373097119,0.528395572
216,0.119664607,0.12,1,0.958574006,0.36841429,0.474486702
217,0.527535325,0.444,0.999999076,0.468312581,0.183412342,0.290861594
218,0.132378971,0.226,1,0.932275723,0.33156846,0.468294342
219,0.163029177,0.278,1,0.960535538,0.366063118,0.536330365
220,0.216302087,0.283,1,0.947934784,0.408147952,0.515869397
221,0.131672618,0.31,1,0.959294096,0.331436379,0.499262904
222,0.549415666,0.404,0.985726396,0.714105142,0.273954874,0.466202453
223,0.189496661,0.295,1,0.994755361,0.348764699,0.539768759
224,0.16953594,0.281,1,0.536863102,0.21278477,0.22193747
225,0.099958727,0.114,1,0.97364813,0.294995923,0.452121373
226,0.125453936,0.285,0.999617616,0.889001685,0.450643412,0.598779288
227,0.200044874,0.286,1,0.953438101,0.4058878,0.507565026
228,0.158937866,0.281,1,0.952533233,0.332208284,0.505171671
229,0.187579811,0.31,1,0.999260877,0.384725219,0.512215613
230,0.160638654,0.031,1,0.997941772,0.435502252,0.585097743
231,0.093670795,0.363,0.992855119,0.749569039,0.403830772,0.557604857
232,0.153993391,0.317,1,0.999129209,0.383110894,0.521180179
233,0.18926952,0.247,1,0.95143362,0.347574393,0.465607862
234,0.189496661,0.295,1,0.994755361,0.348764699,0.539768759
235,0.124556452,0.074,1,0.990567671,0.38002656,0.528521728
236,0.119060744,0.244,1,0.930832185,0.352660635,0.493858501
237,0.135636508,0.244,1,0.968335223,0.349922216,0.485718892
238,0.090507439,0.08,1,0.960416808,0.382076626,0.502143124
239,0.169397439,0.236,1,0.975005184,0.365545063,0.492248586
240,0.091645915,0.083,1,0.983156975,0.362719774,0.553149659
241,0.216277157,0.283,1,0.947879703,0.407908204,0.515843568
242,0.129966289,0.258,1,0.959776801,0.379111184,0.505986363
243,0.182344484,0.247,1,0.974924269,0.362208134,0.511075515
244,0.126002399,0.208,1,0.803691897,0.370256092,0.386997201
245,0.182330634,0.247,1,0.974952023,0.347250067,0.511003402
246,0.287804459,0.302,1,0.792025112,0.423603986,0.447291071
247,0.086382888,0.108,1,0.985233925,0.351870064,0.492958521
248,0.460246143,0.463,1,0.745922314,0.304147686,0.411113479
249,0.547424025,0.403,0.98589364,0.723283815,0.274989833,0.468294666
250,0.534188898,0.303,1,0.987551955,0.452964242,0.547127702
251,0.218354667,0.279,1,0.951591198,0.441711947,0.501282289
252,0.657388043,0.327,1,0.992641866,0.355733098,0.682720495
253,0.403621516,0.182,1,0.959802565,0.330941967,0.613511994
254,0.232337698,0.255,1,0.697763973,0.423342937,0.397208796
255,0.528385719,0.315,1,0.943979122,0.450143561,0.560032543
256,0.573572958,0.79,0.999998188,0.107258801,0.464405446,0.509524116
257,0.174463795,0.232,1,0.950748256,0.348602494,0.510403923
258,0.189590841,0.306,1,0.990688419,0.364647581,0.50772094
259,0.14404073,0.238,1,0.938947585,0.363016786,0.470360681
260,0.113304654,0.088,1,0.997185559,0.343381394,0.547354228
261,0.204410416,0.285,1,0.943335214,0.338498357,0.488480171
262,0.55224108,0.403,0.987523329,0.696417152,0.286161239,0.517489374
263,1.00E+00,1,1,0.633269573,0.272410136,0.404352501
264,0.120238,0.261,1,0.588824801,0.261822371,0.254444791
265,0.147403527,0.054,1,0.995493463,0.352039951,0.538149585
266,0.157012706,0.302,1,0.959288003,0.429514841,0.481393402
267,0.185721132,0.306,1,0.980329229,0.340050703,0.503150742
268,0.155677559,0.026,1,0.999039606,0.372664982,0.549900989
269,0.175699221,0.205,1,0.9304551,0.327583021,0.449881952
270,0.205668003,0.298,1,0.999145887,0.337732357,0.532844476
271,0.10653751,0.266,1,0.959900884,0.34321812,0.509402145
272,0.102174738,0.199,1,0.948091825,0.369530895,0.491799038
273,0.15785479,0.186,1,0.829579968,0.329956964,0.430158999
274,0.280810174,0.001,0.999953772,0.997731878,0.452748605,0.840672746
275,0.132802783,0.222,1,0.971966374,0.351710414,0.513820732
276,0.190806877,0.306,1,0.99370452,0.365069647,0.50861816
277,0.131744638,0.31,1,0.959386887,0.345051625,0.499331277
278,0.319853522,0.642,0.999998938,0.21963219,0.410446998,0.431568948
279,0.160087422,0.253,1,0.974054908,0.356054106,0.514154707
280,0.125553657,0.104,1,0.989594707,0.419920374,0.522002861
281,0.158876926,0.281,1,0.952527946,0.355897115,0.505060564
282,0.238841691,0.312,1,0.95892366,0.35373388,0.493314677
283,0.327950273,0.35,0.654734058,0.890247744,0.413700586,0.550897278
284,0.534194438,0.303,1,0.987506426,0.459220564,0.5471199
285,0.110725771,0.202,1,0.813068135,0.357034887,0.412836704
286,0.227099601,0.283,1,0.947856359,0.406409626,0.515897279
287,0.324102723,0.037,1,0.9992036,0.438333287,0.606984617
288,0.257575296,0.577,0.999998979,0.311827507,0.344510674,0.366232026
289,0.160081882,0.253,1,0.974060728,0.341667893,0.514134344
290,0.130622782,0.23,1,0.919932448,0.37741981,0.477808397
291,0.14396594,0.238,1,0.938944406,0.342924305,0.470284949
292,0.535742876,0.302,1,0.986651768,0.468344975,0.555673027
293,0.217900385,0.296,1,0.999237504,0.365764578,0.501588479
294,0.153201167,0.066,1,0.984799248,0.418680968,0.507678391
295,0.158876926,0.281,1,0.952527946,0.355897115,0.505060564
296,0.216302087,0.283,1,0.947934784,0.408147952,0.515869397
297,0.202681928,0.273,1,0.533638762,0.264924827,0.337861339
298,0.168663385,0.083,1,0.996908941,0.440998564,0.524999879
299,0.126794623,0.261,1,0.929084209,0.365564136,0.50432481
300,0.160336723,0.182,1,0.845478071,0.328978112,0.416083767
301,0.549415666,0.404,0.985726396,0.714105142,0.273954874,0.466202453
302,0.103994637,0.053,1,0.990473858,0.388279858,0.524705545
303,0.534197208,0.303,1,0.987510946,0.452940353,0.547122047
304,0.114135659,0.237,1,0.920015762,0.329726364,0.478212998
305,0.156550114,0.253,1,0.969542959,0.378585944,0.530507789
306,0.323717691,0.289,1,0.66295547,0.379233327,0.370378917
307,0.595954671,0.383,0.991186367,0.725061127,0.262030732,0.486624962
308,0.444844865,0.187,1,0.956486223,0.332378718,0.565498487
309,0.186510586,0.439,1,0.453890124,0.252205422,0.306472592
310,0.534188898,0.303,1,0.987551955,0.452964242,0.547127702
311,0.734934586,0.904,0.950197683,0.057309369,0.35223427,0.450030202
312,0.144334352,0.23,1,0.921902313,0.420679213,0.485402851
313,0.142641873,0.223,1,0.918095256,0.34140742,0.450106134
314,0.190806877,0.306,1,0.99370452,0.365069647,0.50861816
315,0.534191668,0.303,1,0.987543132,0.453102021,0.547125012
316,0.310917456,0.171,1,0.958667494,0.361534659,0.510596672
317,0.17548039,0.476,1,0.448672383,0.313806626,0.366264778
318,0.163029177,0.278,1,0.960535538,0.366063118,0.536330365
319,0.187726622,0.307,1,0.993487678,0.35795528,0.505381988
320,0.534188898,0.303,1,0.987551955,0.452964242,0.547127702
321,0.136841464,0.195,1,0.926996825,0.372681886,0.464686085
322,0.549415666,0.404,0.985726396,0.714105142,0.273954874,0.466202453
323,0.459356969,0.079,0.999879782,0.993717286,0.945767729,0.99851035
324,0.436556983,0.066,0.999877314,0.99894794,0.77629693,0.905186639
325,0.418709783,0.05,0.991790304,0.998151883,0.441148447,0.900127145
326,0.636139265,0.342,0.992573517,0.771734564,0.327851484,0.585957479
327,0.468403835,0.048,1,0.99883855,0.615220367,0.823563376
328,0.442410023,0.07,0.999870562,0.997983667,0.860235061,0.899417991
329,0.415820658,0.009,1,0.99942952,0.716973787,0.914705693
330,0.392106568,0.016,0.99438081,0.998312011,0.375768072,0.830151714
